train_task,test_task,acc
mixed,motor,0.64
mixed,mem,0.8399999999999999
motor,mixed,0.845
motor,mem,0.8299999999999998
mem,mixed,0.9000000000000001
mem,motor,0.7250000000000001
mixed,motor,0.5499999999999999
mixed,mem,0.76
motor,mixed,0.66
motor,mem,0.8299999999999998
mem,mixed,0.7300000000000001
mem,motor,0.56
mixed,motor,0.615
mixed,mem,0.7050000000000001
motor,mixed,0.595
motor,mem,0.7100000000000001
mem,mixed,0.5799999999999998
mem,motor,0.63
mixed,motor,0.5799999999999998
mixed,mem,0.8049999999999999
motor,mixed,0.5449999999999999
motor,mem,0.635
mem,mixed,0.5349999999999999
mem,motor,0.5499999999999999
mixed,motor,0.635
mixed,mem,0.8299999999999998
motor,mixed,0.5
motor,mem,0.6450000000000001
mem,mixed,0.5799999999999998
mem,motor,0.68
mixed,motor,0.82
mixed,mem,0.755
motor,mixed,0.69
motor,mem,0.5900000000000001
mem,mixed,0.85
mem,motor,0.8049999999999999
mixed,motor,0.725
mixed,mem,0.7100000000000001
motor,mixed,0.6050000000000001
motor,mem,0.6900000000000001
mem,mixed,0.63
mem,motor,0.6650000000000001
mixed,motor,0.97
mixed,mem,0.96
motor,mixed,0.5849999999999999
motor,mem,0.645
mem,mixed,0.615
mem,motor,0.615
mixed,motor,0.6500000000000001
mixed,mem,0.8149999999999998
motor,mixed,0.85
motor,mem,0.735
mem,mixed,0.5700000000000001
mem,motor,0.5700000000000001
mixed,motor,0.675
mixed,mem,0.6700000000000002
motor,mixed,0.54
motor,mem,0.6
mem,mixed,0.6849999999999999
mem,motor,0.78
mixed,motor,0.7
mixed,mem,0.7849999999999999
motor,mixed,0.51
motor,mem,0.5499999999999999
mem,mixed,0.7000000000000001
mem,motor,0.7300000000000001
mixed,motor,0.7899999999999999
mixed,mem,0.785
motor,mixed,0.595
motor,mem,0.51
mem,mixed,0.7649999999999999
mem,motor,0.845
mixed,motor,0.8300000000000001
mixed,mem,0.8249999999999998
motor,mixed,0.5149999999999999
motor,mem,0.505
mem,mixed,0.8
mem,motor,0.9099999999999999
mixed,motor,0.49000000000000005
mixed,mem,0.57
motor,mixed,0.5
motor,mem,0.5599999999999999
mem,mixed,0.685
mem,motor,0.745
mixed,motor,0.595
mixed,mem,0.51
motor,mixed,0.53
motor,mem,0.5
mem,mixed,0.615
mem,motor,0.7999999999999999
mixed,motor,0.6049999999999999
mixed,mem,0.525
motor,mixed,0.5
motor,mem,0.505
mem,mixed,0.53
mem,motor,0.5549999999999999
mixed,motor,0.58
mixed,mem,0.6399999999999999
motor,mixed,0.6549999999999999
motor,mem,0.79
mem,mixed,0.5199999999999999
mem,motor,0.6100000000000001
mixed,motor,0.6950000000000001
mixed,mem,0.7000000000000001
motor,mixed,0.635
motor,mem,0.72
mem,mixed,0.5249999999999999
mem,motor,0.5849999999999999
mixed,motor,0.5
mixed,mem,0.66
motor,mixed,0.48500000000000004
motor,mem,0.45999999999999996
mem,mixed,0.5
mem,motor,0.6199999999999999
mixed,motor,0.55
mixed,mem,0.5549999999999999
motor,mixed,0.5449999999999999
motor,mem,0.59
mem,mixed,0.5499999999999999
mem,motor,0.7749999999999999
mixed,motor,0.5449999999999999
mixed,mem,0.51
motor,mixed,0.555
motor,mem,0.6399999999999999
mem,mixed,0.515
mem,motor,0.665
mixed,motor,0.77
mixed,mem,0.825
motor,mixed,0.805
motor,mem,0.82
mem,mixed,0.9299999999999999
mem,motor,0.8150000000000001
mixed,motor,0.6549999999999999
mixed,mem,0.8699999999999999
motor,mixed,0.6950000000000001
motor,mem,0.7300000000000001
mem,mixed,0.59
mem,motor,0.5599999999999998
mixed,motor,0.515
mixed,mem,0.56
motor,mixed,0.575
motor,mem,0.625
mem,mixed,0.61
mem,motor,0.575
mixed,motor,0.675
mixed,mem,0.82
motor,mixed,0.58
motor,mem,0.705
mem,mixed,0.6
mem,motor,0.5149999999999999
