train_task,test_task,acc
mixed,motor,1.0
mixed,mem,1.0
motor,mixed,0.5599999999999999
motor,mem,0.5
mem,mixed,0.5
mem,motor,0.5
mixed,motor,1.0
mixed,mem,1.0
motor,mixed,1.0
motor,mem,1.0
mem,mixed,1.0
mem,motor,1.0
mixed,motor,0.5449999999999999
mixed,mem,0.5449999999999999
motor,mixed,0.605
motor,mem,0.82
mem,mixed,0.5
mem,motor,0.5
mixed,motor,1.0
mixed,mem,0.5
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.8800000000000001
mem,motor,1.0
mixed,motor,0.7222222222222222
mixed,mem,0.5499999999999999
motor,mixed,0.6100000000000001
motor,mem,0.5
mem,mixed,1.0
mem,motor,1.0
mixed,motor,1.0
mixed,mem,1.0
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5
mem,motor,0.5
mixed,motor,0.5
mixed,mem,0.5
motor,mixed,0.8499999999999999
motor,mem,0.8499999999999999
mem,mixed,0.5
mem,motor,0.5
mixed,motor,1.0
mixed,mem,1.0
motor,mixed,1.0
motor,mem,1.0
mem,mixed,1.0
mem,motor,1.0
mixed,motor,1.0
mixed,mem,1.0
motor,mixed,1.0
motor,mem,1.0
mem,mixed,1.0
mem,motor,1.0
mixed,motor,0.5
mixed,mem,0.5
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5
mem,motor,0.5
mixed,motor,1.0
mixed,mem,0.5
motor,mixed,0.5
motor,mem,0.5
mem,mixed,1.0
mem,motor,1.0
mixed,motor,1.0
mixed,mem,1.0
motor,mixed,1.0
motor,mem,0.64
mem,mixed,1.0
mem,motor,1.0
mixed,motor,0.7111111111111111
mixed,mem,0.74
motor,mixed,0.5499999999999999
motor,mem,1.0
mem,mixed,0.985
mem,motor,1.0
mixed,motor,0.5
mixed,mem,0.5
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5
mem,motor,0.5
mixed,motor,1.0
mixed,mem,1.0
motor,mixed,1.0
motor,mem,1.0
mem,mixed,1.0
mem,motor,1.0
mixed,motor,1.0
mixed,mem,0.8099999999999999
motor,mixed,1.0
motor,mem,0.89
mem,mixed,0.9500000000000001
mem,motor,0.9500000000000001
mixed,motor,0.8399999999999999
mixed,mem,0.8399999999999999
motor,mixed,0.7000000000000001
motor,mem,0.7000000000000001
mem,mixed,0.50625
mem,motor,0.50625
mixed,motor,1.0
