train_task,test_task,acc
mixed,motor,1.0
mixed,mem,0.99
motor,mixed,0.8049999999999999
motor,mem,0.78
mem,mixed,0.95
mem,motor,1.0
mixed,motor,0.7649999999999999
mixed,mem,0.9000000000000001
motor,mixed,0.5249999999999999
motor,mem,0.525
mem,mixed,0.7999999999999999
mem,motor,0.685
mixed,motor,1.0
mixed,mem,0.8399999999999999
motor,mixed,0.595
motor,mem,0.6049999999999999
mem,mixed,0.8099999999999999
mem,motor,0.905
mixed,motor,0.95
mixed,mem,0.9550000000000001
motor,mixed,0.655
motor,mem,0.8099999999999999
mem,mixed,0.93
mem,motor,0.875
mixed,motor,0.9949999999999999
mixed,mem,1.0
motor,mixed,0.6900000000000002
motor,mem,0.95
mem,mixed,0.8950000000000001
mem,motor,1.0
mixed,motor,0.915
mixed,mem,1.0
motor,mixed,0.5449999999999999
motor,mem,0.58
mem,mixed,0.685
mem,motor,0.7
mixed,motor,0.9
mixed,mem,0.975
motor,mixed,0.5499999999999999
motor,mem,0.525
mem,mixed,0.9949999999999999
mem,motor,0.9199999999999999
mixed,motor,0.85
mixed,mem,0.845
motor,mixed,0.585
motor,mem,0.645
mem,mixed,0.9099999999999999
mem,motor,0.925
