train_task,test_task,acc
mixed,motor,0.9800000000000001
mixed,mem,0.96
motor,mixed,0.755
motor,mem,0.7100000000000001
mem,mixed,0.9000000000000001
mem,motor,0.985
mixed,motor,0.7999999999999999
mixed,mem,0.8949999999999999
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.62
mem,motor,0.7
mixed,motor,0.9549999999999998
mixed,mem,0.9400000000000001
motor,mixed,0.505
motor,mem,0.82
mem,mixed,0.625
mem,motor,0.865
mixed,motor,0.95
mixed,mem,1.0
motor,mixed,0.645
motor,mem,0.7150000000000001
mem,mixed,0.8950000000000001
mem,motor,0.905
mixed,motor,0.945
mixed,mem,1.0
motor,mixed,0.5499999999999999
motor,mem,0.7900000000000001
mem,mixed,0.89
mem,motor,0.985
mixed,motor,0.9200000000000002
mixed,mem,1.0
motor,mixed,0.755
motor,mem,0.85
mem,mixed,0.8399999999999999
mem,motor,0.9049999999999999
mixed,motor,0.8600000000000001
mixed,mem,0.9349999999999999
motor,mixed,0.505
motor,mem,0.5
mem,mixed,0.9100000000000001
mem,motor,0.7350000000000001
mixed,motor,0.845
mixed,mem,0.905
motor,mixed,0.635
motor,mem,0.595
mem,mixed,0.8499999999999999
mem,motor,0.8850000000000001
