train_task,test_task,acc
mixed,motor,0.545
mixed,mem,0.5599999999999999
motor,mixed,0.6499999999999999
motor,mem,0.6449999999999999
mem,mixed,0.745
mem,motor,0.7050000000000001
mixed,motor,0.55
mixed,mem,0.5549999999999999
motor,mixed,0.755
motor,mem,0.775
mem,mixed,0.665
mem,motor,0.6299999999999999
mixed,motor,0.5549999999999999
mixed,mem,0.515
motor,mixed,0.675
motor,mem,0.7050000000000001
mem,mixed,0.725
mem,motor,0.8049999999999999
mixed,motor,0.5599999999999999
mixed,mem,0.575
motor,mixed,0.8549999999999999
motor,mem,0.8649999999999999
mem,mixed,0.8549999999999999
mem,motor,0.805
mixed,motor,0.58
mixed,mem,0.625
motor,mixed,0.6900000000000002
motor,mem,0.875
mem,mixed,0.7100000000000001
mem,motor,0.78
mixed,motor,0.885
mixed,mem,0.89
motor,mixed,0.9349999999999999
motor,mem,0.875
mem,mixed,0.9850000000000001
mem,motor,0.93
mixed,motor,0.635
mixed,mem,0.635
motor,mixed,0.615
motor,mem,0.595
mem,mixed,0.7649999999999999
mem,motor,0.86
mixed,motor,0.825
mixed,mem,0.8300000000000001
motor,mixed,0.5
motor,mem,0.505
mem,mixed,0.835
mem,motor,0.8850000000000001
mixed,motor,0.615
mixed,mem,0.8249999999999998
motor,mixed,0.53
motor,mem,0.51
mem,mixed,0.6650000000000001
mem,motor,0.6650000000000001
mixed,motor,0.68
mixed,mem,0.635
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.7949999999999999
mem,motor,0.9099999999999999
mixed,motor,0.675
mixed,mem,0.69
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.825
mem,motor,0.805
mixed,motor,0.6850000000000002
mixed,mem,0.655
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.8049999999999999
mem,motor,0.9500000000000002
mixed,motor,0.745
mixed,mem,0.8400000000000001
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.9049999999999999
mem,motor,0.9799999999999999
mixed,motor,0.5599999999999999
mixed,mem,0.5599999999999999
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.7949999999999999
mem,motor,0.8049999999999999
mixed,motor,0.63
mixed,mem,0.595
motor,mixed,0.495
motor,mem,0.5999999999999999
mem,mixed,0.6050000000000001
mem,motor,0.8549999999999999
mixed,motor,0.8300000000000001
mixed,mem,0.7750000000000001
motor,mixed,0.5999999999999999
motor,mem,0.635
mem,mixed,0.66
mem,motor,0.59
mixed,motor,0.8700000000000001
mixed,mem,0.7599999999999999
motor,mixed,0.7949999999999999
motor,mem,0.8499999999999999
mem,mixed,0.6500000000000001
mem,motor,0.7749999999999998
mixed,motor,0.745
mixed,mem,0.86
motor,mixed,0.85
motor,mem,0.93
mem,mixed,0.85
mem,motor,0.715
mixed,motor,0.5549999999999999
mixed,mem,0.57
motor,mixed,0.5999999999999999
motor,mem,0.595
mem,mixed,0.5999999999999999
mem,motor,0.7949999999999998
mixed,motor,0.595
mixed,mem,0.57
motor,mixed,0.5499999999999999
motor,mem,0.5599999999999999
mem,mixed,0.585
mem,motor,0.8549999999999999
mixed,motor,0.615
mixed,mem,0.575
motor,mixed,0.5549999999999999
motor,mem,0.665
mem,mixed,0.51
mem,motor,0.7150000000000001
mixed,motor,0.565
mixed,mem,0.565
motor,mixed,0.6950000000000001
motor,mem,0.71
mem,mixed,0.7450000000000001
mem,motor,0.7300000000000001
mixed,motor,0.8049999999999999
mixed,mem,0.86
motor,mixed,0.8300000000000001
motor,mem,0.875
mem,mixed,0.6599999999999999
mem,motor,0.645
mixed,motor,0.665
mixed,mem,0.7150000000000001
motor,mixed,0.7899999999999999
motor,mem,0.835
mem,mixed,0.635
mem,motor,0.675
mixed,motor,0.7999999999999999
mixed,mem,0.9349999999999999
motor,mixed,0.655
motor,mem,0.8500000000000002
mem,mixed,0.7049999999999998
mem,motor,0.62
mixed,motor,0.7849999999999999
mixed,mem,0.9199999999999999
motor,mixed,0.655
motor,mem,0.75
mem,mixed,0.8249999999999998
mem,motor,0.7000000000000001
mixed,motor,0.7999999999999999
mixed,mem,0.845
motor,mixed,0.7699999999999999
motor,mem,0.7849999999999999
mem,mixed,0.78
mem,motor,0.7849999999999999
mixed,motor,0.8299999999999998
mixed,mem,0.8299999999999998
motor,mixed,0.82
motor,mem,0.835
mem,mixed,0.8799999999999999
mem,motor,0.8749999999999998
mixed,motor,0.53
mixed,mem,0.53
motor,mixed,0.6100000000000001
motor,mem,0.7250000000000001
mem,mixed,0.575
mem,motor,0.5849999999999999
mixed,motor,0.5
mixed,mem,0.5
motor,mixed,0.5949999999999999
motor,mem,0.5999999999999999
mem,mixed,0.51
mem,motor,0.51
mixed,motor,0.635
mixed,mem,0.615
motor,mixed,0.8049999999999999
motor,mem,0.6400000000000001
mem,mixed,0.6599999999999999
mem,motor,0.6599999999999999
mixed,motor,0.5900000000000001
mixed,mem,0.565
motor,mixed,0.545
motor,mem,0.6300000000000001
mem,mixed,0.6449999999999999
mem,motor,0.6449999999999999
mixed,motor,0.5349999999999999
mixed,mem,0.57
motor,mixed,0.495
motor,mem,0.5499999999999999
mem,mixed,0.6499999999999999
mem,motor,0.685
mixed,motor,0.6649999999999999
mixed,mem,0.65
motor,mixed,0.6099999999999999
motor,mem,0.6950000000000001
mem,mixed,0.825
mem,motor,0.8699999999999999
mixed,motor,0.615
mixed,mem,0.61
motor,mixed,0.43500000000000005
motor,mem,0.5799999999999998
mem,mixed,0.5900000000000001
mem,motor,0.655
mixed,motor,0.7150000000000001
mixed,mem,0.78
motor,mixed,0.615
motor,mem,0.7499999999999999
mem,mixed,0.85
mem,motor,0.8150000000000001
mixed,motor,0.565
mixed,mem,0.755
motor,mixed,0.6950000000000001
motor,mem,0.85
mem,mixed,0.725
mem,motor,0.525
mixed,motor,0.655
mixed,mem,0.6450000000000001
motor,mixed,0.7949999999999999
motor,mem,0.8900000000000002
mem,mixed,0.7100000000000001
mem,motor,0.595
mixed,motor,0.7899999999999999
mixed,mem,0.7949999999999999
motor,mixed,0.86
motor,mem,0.82
mem,mixed,0.7549999999999999
mem,motor,0.715
mixed,motor,0.605
mixed,mem,0.86
motor,mixed,0.5499999999999999
motor,mem,0.6
mem,mixed,0.65
mem,motor,0.64
mixed,motor,0.735
mixed,mem,0.835
motor,mixed,0.885
motor,mem,0.9100000000000001
mem,mixed,0.79
mem,motor,0.85
mixed,motor,0.675
mixed,mem,0.705
motor,mixed,0.615
motor,mem,0.9250000000000002
mem,mixed,0.7449999999999999
mem,motor,0.8099999999999998
mixed,motor,0.95
mixed,mem,0.95
motor,mixed,0.57
motor,mem,0.57
mem,mixed,0.5549999999999999
mem,motor,0.5549999999999999
mixed,motor,0.74
mixed,mem,0.9199999999999999
motor,mixed,0.57
motor,mem,0.57
mem,mixed,0.575
mem,motor,0.575
mixed,motor,0.605
mixed,mem,0.7050000000000001
motor,mixed,0.76
motor,mem,0.76
mem,mixed,0.5549999999999999
mem,motor,0.59
mixed,motor,0.9400000000000001
mixed,mem,0.82
motor,mixed,0.6500000000000001
motor,mem,0.725
mem,mixed,0.8550000000000001
mem,motor,0.86
mixed,motor,0.6900000000000001
mixed,mem,0.97
motor,mixed,0.8549999999999999
motor,mem,1.0
mem,mixed,0.71
mem,motor,0.635
mixed,motor,0.8300000000000003
mixed,mem,0.8150000000000001
motor,mixed,0.6749999999999999
motor,mem,0.7850000000000001
mem,mixed,0.7899999999999999
mem,motor,0.8700000000000001
mixed,motor,0.7300000000000001
mixed,mem,0.8099999999999999
motor,mixed,0.7449999999999999
motor,mem,0.8049999999999999
mem,mixed,0.5399999999999999
mem,motor,0.5549999999999999
mixed,motor,0.5149999999999999
mixed,mem,0.5449999999999999
motor,mixed,0.6950000000000001
motor,mem,0.8549999999999999
mem,mixed,0.565
mem,motor,0.565
mixed,motor,0.56
mixed,mem,0.7699999999999999
motor,mixed,0.66
motor,mem,0.805
mem,mixed,0.6950000000000001
mem,motor,0.72
mixed,motor,0.5649999999999998
mixed,mem,0.64
motor,mixed,0.7150000000000001
motor,mem,0.7300000000000001
mem,mixed,0.5549999999999999
mem,motor,0.5599999999999999
mixed,motor,0.7849999999999999
mixed,mem,0.845
motor,mixed,0.78
motor,mem,0.845
mem,mixed,0.8150000000000001
mem,motor,0.8400000000000001
mixed,motor,0.25999999999999995
mixed,mem,0.61
motor,mixed,0.575
motor,mem,0.7500000000000001
mem,mixed,0.8649999999999999
mem,motor,0.73
mixed,motor,0.5799999999999998
mixed,mem,0.7300000000000001
motor,mixed,0.62
motor,mem,0.78
mem,mixed,0.75
mem,motor,0.7699999999999999
mixed,motor,0.5849999999999999
mixed,mem,0.5849999999999999
motor,mixed,0.605
motor,mem,0.645
mem,mixed,0.8099999999999999
mem,motor,0.8099999999999999
