train_task,test_task,acc
mixed,motor,0.75
mixed,mem,0.745
motor,mixed,0.695
motor,mem,0.74
mem,mixed,0.44000000000000006
mem,motor,0.585
mixed,motor,0.565
mixed,mem,0.4600000000000001
motor,mixed,0.6950000000000001
motor,mem,0.735
mem,mixed,0.7150000000000001
mem,motor,0.7899999999999999
mixed,motor,0.835
mixed,mem,0.7300000000000001
motor,mixed,0.77
motor,mem,0.61
mem,mixed,0.8049999999999999
mem,motor,0.7899999999999999
mixed,motor,0.825
mixed,mem,0.7100000000000001
motor,mixed,0.575
motor,mem,0.6200000000000001
mem,mixed,0.835
mem,motor,0.86
mixed,motor,0.8249999999999998
mixed,mem,0.6300000000000001
motor,mixed,0.5499999999999999
motor,mem,0.67
mem,mixed,0.685
mem,motor,0.9099999999999999
mixed,motor,0.5549999999999999
mixed,mem,0.5599999999999999
motor,mixed,0.665
motor,mem,0.575
mem,mixed,0.605
mem,motor,0.63
mixed,motor,0.655
mixed,mem,0.6049999999999999
motor,mixed,0.5849999999999999
motor,mem,0.61
mem,mixed,0.85
mem,motor,0.845
mixed,motor,0.6700000000000002
mixed,mem,0.555
motor,mixed,0.6399999999999999
motor,mem,0.5949999999999999
mem,mixed,0.8149999999999998
mem,motor,0.9100000000000001
mixed,motor,0.5549999999999999
mixed,mem,0.5
motor,mixed,0.5399999999999999
motor,mem,0.5
mem,mixed,0.5349999999999999
mem,motor,0.7550000000000001
mixed,motor,0.535
mixed,mem,0.485
motor,mixed,0.5449999999999999
motor,mem,0.5
mem,mixed,0.8400000000000001
mem,motor,0.8149999999999998
mixed,motor,0.495
mixed,mem,0.48
motor,mixed,0.5499999999999999
motor,mem,0.5
mem,mixed,0.7499999999999999
mem,motor,0.845
mixed,motor,0.5
mixed,mem,0.5
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5449999999999999
mem,motor,0.7100000000000001
mixed,motor,0.38
mixed,mem,0.46499999999999997
motor,mixed,0.505
motor,mem,0.5
mem,mixed,0.58
mem,motor,0.7100000000000001
mixed,motor,0.465
mixed,mem,0.41000000000000003
motor,mixed,0.5
